Familia,Miembro,Nombre Completo,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Empleador,Área,Medios,Movimientos,Familiares
Familia Matte,Benjamín Matte,,"15 de junio de 1902 Santiago , Chile",,Chilena,"Ingeniero agrónomo , agricultor y político",Instituto de Humanidades Luis Campino,,,,,"{'Manuel Bulnes Prieto': '[1] /wiki/Manuel_Bulnes_Prieto', 'Francisco Antonio Pinto': '[2] /wiki/Francisco_Antonio_Pinto', 'Domingo Matte Larraín': '[3] /wiki/Domingo_Matte_Larra%C3%ADn', 'Arturo Matte Larraín': '[4] /wiki/Arturo_Matte_Larra%C3%ADn', 'Luis Matte Larraín': '[5] /wiki/Luis_Matte_Larra%C3%ADn'}"
Familia Matte,Grupo Matte,,,,,,,,,,,{}
Familia Matte,Patricia Matte,María Patricia Matte Larraín,"2 de octubre de 1943 (81 años) Santiago , Chile",,Chilena,"Socióloga , académica, investigadora y consultora naturista",,,,,,"{'Eliodoro Matte Larraín': '[1] /wiki/Eliodoro_Matte_Larra%C3%ADn', 'Bernardo Matte Larraín': '[2] /wiki/Bernardo_Matte'}"
Familia Matte,Rebeca Matte,,"29 de octubre de 1875 Santiago , Chile",,Chilena,Escultora y pintora,,Academia de Bellas Artes de Florencia,,,,{'Andrés Bello': '[1] /wiki/Andr%C3%A9s_Bello'}
Familia Matte,Magdalena Matte,,"13 de agosto de 1950 (74 años) Santiago , Chile","Santiago , Chile",Chilena,"Ingeniera civil , empresaria y política",,,,,,{}
Familia Meruane,Lina Meruane,,20 de septiembre de 1970 (54 años) Santiago ( Chile ),,Chilena y palestina,"Escritora , periodista y profesora de universidad",,Universidad de Nueva York,"Escritura, prosa , periodismo , Literatura de Chile y literatura latinoamericana",,,"{'Ricardo Meruane': '[1] /wiki/Ricardo_Meruane', 'tío': '[2] /wiki/T%C3%ADo', 'Nelly Meruane': '[3] /wiki/Nelly_Meruane', 'tía abuela': '[4] /wiki/T%C3%ADa_abuela'}"
Familia Meruane,Ricardo Meruane,César Ricardo Meruane Meruane,7 de diciembre de 1956 (68 años) Santiago de Chile ( Chile ),,Chilena,Humorista y tallista,Universidad Técnica Federico Santa María,,,,,"{'Nelly Meruane': '[1] /wiki/Nelly_Meruane', 'tía': '[2] /wiki/T%C3%ADa', 'Lina Meruane': '[3] /wiki/Lina_Meruane', 'sobrina': '[4] /wiki/Sobrina'}"
Familia Meruane,Nelly Meruane,Nelly Lucinda Consuelo Meruane Solano,"20 de diciembre de 1927 Toltén , Araucanía , Chile",Providencia,Chilena,Actriz y profesora,,,,,,"{'Ricardo Meruane': '[1] /wiki/Ricardo_Meruane', 'sobrino': '[2] /wiki/Sobrino', 'Lina Meruane': '[3] /wiki/Lina_Meruane', 'sobrina nieta': '[4] /wiki/Sobrina_nieta'}"
Familia Monckeberg,Familia Monckeberg,,,,,,,,,,,{}
Familia Monckeberg,Nicolás Monckeberg,,"31 de julio de 1973 (51 años) Santiago , Chile","Santiago , Chile",Chilena,"Abogado , político y académico",Universidad de los Andes y Pontificia Universidad Católica de Chile,,,,,"{'Gustavo Monckeberg Barros': '[1] /wiki/Gustavo_Monckeberg_Barros', 'Cristián Monckeberg': '[2] /wiki/Cristi%C3%A1n_Monckeberg'}"
Familia Monckeberg,Cristián Monckeberg,,"12 de mayo de 1968 (56 años) Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad Gabriela Mistral,Banco Santander Universidad del alba,,Chile Vamos,,"{'Gustavo Monckeberg Barros': '[1] /wiki/Gustavo_Monckeberg_Barros', 'Nicolás Monckeberg Díaz': '[2] /wiki/Nicol%C3%A1s_Monckeberg_D%C3%ADaz', 'Sergio Urrejola Monckeberg': '[3] /wiki/Sergio_Urrejola_Monckeberg'}"
Familia Monckeberg,Johann Georg Mönckeberg,,22 de agosto de 1839 Hamburgo,,germana,abogado,"Universidad de Heidelberg , Georgia Augusta",,,,,{}
Familia Monckeberg,Constanza Santa María,,18 de julio de 1973 (51 años) Santiago de Chile ( Chile ),,Chilena,Periodista y presentadora de noticias,,,,,,{'Antonia Santa María': '[1] /wiki/Antonia_Santa_Mar%C3%ADa'}
Familia Monckeberg,Antonia Santa María,Antonia Santa María Monckeberg,"22 de julio de 1982 (42 años) Santiago , Chile Chile",Providencia,Chilena,Actriz y cantante,,,,,,{'Constanza Santa María': '[1] /wiki/Constanza_Santa_Mar%C3%ADa'}
Familia Monckeberg,Sergio Urrejola,,"2 de febrero de 1949 (76 años) Santiago de Chile , Chile","Zapallar , Chile",,Abogado y diplomático,Universidad Católica de Valparaíso [ 1 ] ​,,,,,{'Cristián Monckeberg Bruner': '[1] /wiki/Cristi%C3%A1n_Monckeberg_Bruner'}
Familia Monckeberg,Fernando Monckeberg Barros,Fernando Rafael Monckeberg Barros,26 de junio de 1926 (98 años) Santiago de Chile ( Chile ),,Chilena,"Economista , cirujano y conferencista",Universidad de Chile ( Lic. en Medicina ; hasta 1952) Universidad Harvard ( Posgrado en Bioquímica ; hasta 1958),Universidad Harvard Universidad de Chile,,Academia Nacional de Medicina de Argentina Academia Chilena de Medicina,,{'Gustavo Monckeberg Barros': '[1] /wiki/Gustavo_Monckeberg_Barros'}
Familia Monckeberg,María Olivia Mönckeberg,María Olivia Mönckeberg Pardo,"29 de mayo de 1944 (80 años) Santiago , Chile",,Chilena,Periodista y Académica,,Universidad de Chile,,Colegio de Periodistas de Chile,,{}
Familia Monckeberg,Gustavo Monckeberg Barros,,"19 de septiembre de 1914 Santiago , Chile",,Chilena,Médico y político,Universidad de Chile Pontificia Universidad Católica de Chile Colegio de los Sagrados Corazones de Santiago,,,,,"{'Cristián Monckeberg': '[1] /wiki/Cristi%C3%A1n_Monckeberg', 'Nicolás Monckeberg': '[2] /wiki/Nicol%C3%A1s_Monckeberg'}"
Familia Montt,Rosario Montt,,1827,,Chilena,Primera dama,,,,,,{}
Familia Montt,Alberto Montt,Alberto Carlos Montt Moscoso,"22 de diciembre de 1972 (52 años) Quito , Ecuador",Chile [ 1 ] ​,Chilena,,,,Artes plásticas Ilustración Diseño gráfico,,,{}
Familia Montt,Teresa Wilms Montt,María Teresa de las Mercedes Wilms Montt,"8 de septiembre de 1893 Viña del Mar , Chile",,chilena,"escritora , anarquista",,,,,,{}
Familia Montt,Eduardo Morandé,Eduardo Rafael Morandé Montt,"31 de enero de 1958 (67 años) Santiago , Chile",Santiago de Chile,Chileno,Economista,Universidad de Chile,,,,,{}
Familia Montt,Manuel Montt,Manuel Francisco Antonio Julián Montt Torres,"4 de septiembre de 1809 Petorca , Capitanía General de Chile , Imperio Español",,Chilena,Abogado y político,Instituto Nacional,Corte Suprema de Chile,,,,"{'Manuel Montt Lehuedé': '[1] /wiki/Manuel_Montt_Lehued%C3%A9', 'Luis Montt Dubournais': '[2] /wiki/Luis_Montt_Dubournais'}"
Familia Montt,Julio Montt Vidal,,1954 (67-68 años),,Chilena,Médico cirujano y político,Universidad de Chile,,,,,{'Francisco Vidal Salinas': '[1] /wiki/Francisco_Vidal_Salinas'}
Familia Montt,Manuel Montt Balmaceda,,13 de octubre de 1925,,Chilena,"abogado , diplomático , escritor y rector",Universidad de Chile,,,,,"{'Marta Montt Balmaceda': '[1] /wiki/Marta_Montt_Balmaceda', 'Lorenzo Montt Montt': '[2] /wiki/Lorenzo_Montt_Montt'}"
Familia Montt,Andrés Wood,Andrés Wood Montt,14 de septiembre de 1965 (59 años) Santiago de Chile ( Chile ),,Chilena,"Director de cine , guionista y productor de cine",Pontificia Universidad Católica de Chile ( Ingeniería comercial ) Universidad de Nueva York ( Cinematografía ) Saint George's College,,,,,{}
Familia Montt,Marta Montt Balmaceda,,"1 de enero de 1934 Santiago , Chile",,Chilena,Modelo artístico y modelo,,,,,,{'Manuel Montt Balmaceda': '[1] /wiki/Manuel_Montt_Balmaceda'}
Familia Montt,Alberto Montt Montt,,"1860 Santiago , Chile",,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Montt,Ambrosio Montt Luco,,7 de diciembre de 1830 Santiago,,Chilena,Abogado y Político,Instituto Nacional,,,,,{'Lorenzo Montt Montt': '[1] /wiki/Lorenzo_Montt_Montt'}
Familia Montt,Roberto Guzmán Montt,,"8 de junio de 1876 , Santiago de Chile",,Chilena,Político y abogado,Colegio de los Sagrados Corazones de Santiago Instituto Nacional,,,,,"{'Pedro Montt Montt': '[1] /wiki/Pedro_Montt_Montt', 'Manuel Montt': '[2] /wiki/Manuel_Montt'}"
Familia Montt,José Santiago Montt Irarrázaval,,"14 de noviembre de 1783 Melipilla , Chile",,Chilena,Abogado,Real Universidad de San Felipe,,,,,{}
Familia Montt,Julio Montt,,"27 de abril de 1926 Osorno , Chile","Osorno / Santiago , Chile",Chilena,Médico y político,Escuela Militar del Libertador Bernardo O'Higgins Universidad de Chile,Hospital San Borja Hospital Militar de Santiago Clínica Alemana de Santiago Federación de Hospitales de México Sociedad Médica de Osorno,,Colegio Médico de Chile Cámara Chilena de la Construcción Federación Latinoamericana de Administración de Salud,,{'Francisco Vidal Salinas': '[1] /wiki/Francisco_Vidal_Salinas'}
Familia Montt,José Anacleto Montt Goyenechea,,"1802 Valparaíso , Reino de Chile",,Chilena,Abogado,Instituto Nacional,,,,,{}
Familia Montt,Nicolasa Montt de Marambio,Nicolasa Montt Barrios,"1857 Freirina , Atacama , Chile Chile",,chilena,"escritora 5 libros y periódicos, Poetisa y traductora",,,,,,{}
Familia Montt,Cornelio Saavedra Montt,,"10 de mayo de 1884 Valparaíso , Chile",,Chilena,Político y militar,Escuela Militar Bernardo O'Higgins,,,,,{}
Familia Montt,María Ignacia Montt,,,,,,,,,,,{}
Familia Montt,Andrés Celis,,"8 de abril de 1975 (50 años) Viña del Mar , Chile","Viña del Mar , Chile",Chilena,Político,Universidad Adolfo Ibáñez,,,,,"{'Raúl Celis Montt': '[1] /wiki/Ra%C3%BAl_Celis_Montt', 'Víctor R. Celis Maturana': '[2] /wiki/V%C3%ADctor_R._Celis_Maturana'}"
Familia Montt,Nicolás Marambio Montt,,"13 de junio de 1886 Freirina , Chile","La Serena , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,{}
Familia Montt,Manuel Montt Lehuedé,Manuel Montt Lehuedé,"9 de septiembre de 1904 Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad de Chile Facultad de Derecho de la Universidad de Chile,Banco de Chile Instituto Nacional Biblioteca Nacional de Chile,,Sociedad Chilena de Historia y Geografía Club de la Unión,,{'Manuel Montt Torres': '[1] /wiki/Manuel_Montt_Torres'}
Familia Montt,Luis Montt Dubournais,,"27 de agosto de 1945 Santiago , Chile Chile","Santiago , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,"{'Manuel Montt Torres': '[1] /wiki/Manuel_Montt_Torres', 'Isidoro Dubournais': '[2] /wiki/Isidoro_Dubournais'}"
Familia Montt,Mario Garrido Montt,Mario Enrique Astroberto Garrido Montt,29 de marzo de 1927,,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Montt,Cristo Montt,Cristóbal Arturo Tapia Montt,"2 de julio de 1981 (43 años) Santiago , Chile","Los Ángeles , California , Estados Unidos",Chilena,Actor,Saint George's College,,,,,{}
Familia Montt,Lucas del Villar,,"21 de enero de 1978 (47 años) Las Condes , Chile","Vitacura , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,{}
Familia Montt,Julio Montt Salamanca,,29 de septiembre de 1861 Valparaíso ( Chile ),,Chilena,Soldado,Escuela Militar del Libertador Bernardo O'Higgins,,,,,{}
Familia Montt,José Esteban de Montt Cabrera,,1709 Lima ( Perú ),Chile,Peruana,Militar y Estanciero,,,,,,{}
Familia Montt,Pedro Montt Leiva,,1956,"Santiago , Chile",Chilena,Profesor de ciencias naturales y química y político,Universidad Católica de Chile,,,,,{}
Familia Montt,Cristina Montt,Cristina Martinez Montt,"10 de mayo de 1895 Talcahuano , Chile",,Chilena,Actriz,,,,,,{'Julio Eduardo Martínez Montt': '[1] /w/index.php?title=Julio_Eduardo_Mart%C3%ADnez_Montt&action=edit&redlink=1'}
Familia Montt,Familia Montt,,,,,,,,,,,{}
Familia Montt,Eugenio Guzmán Montt,,"24 de junio de 1875 Santiago , Chile",,Chilena,"Abogado , Diplomático y Agricultor",Colegio de los Sagrados Corazones de Santiago Instituto Nacional,,,,,{}
Familia Montt,Lorenzo Montt,,"6 de diciembre de 1866 Santiago , Chile Chile",,Chilena,Abogado y político,,,,,,"{'Ambrosio Montt Luco': '[1] /wiki/Ambrosio_Montt_Luco', 'Manuel Montt Balmaceda': '[2] /wiki/Manuel_Montt_Balmaceda', 'Marta Montt Balmaceda': '[3] /wiki/Marta_Montt_Balmaceda'}"
Familia Montt,Pedro Montt,Pedro Elías Pablo Montt Montt,"29 de junio de 1849 Santiago , Chile","Santiago , Chile",Chilena,Político y abogado,Universidad de Chile Instituto Nacional,,,,,"{'Luis': '[1] /wiki/Luis_Montt_Montt', 'Enrique Julio Montt Montt': '[2] /wiki/Enrique_Montt_Montt'}"
Familia Montt,Raúl Celis Montt,Raúl Eduardo Celis Montt,"5 de septiembre de 1962 (62 años) Viña del Mar , Chile","Viña del Mar , Chile",Chilena,Abogado y político,Sede Valparaíso de la Universidad de Chile,,,Colegio de Abogados de Chile,,"{'Andrés Celis': '[1] /wiki/Andr%C3%A9s_Celis', 'Víctor R. Celis Maturana': '[2] /wiki/V%C3%ADctor_R._Celis_Maturana'}"
Familia Montt,Enrique Montt Montt,,"20 de diciembre de 1861 Santiago , Chile","Santiago , Chile",Chilena,"Abogado , escritor y político",Universidad de Chile,,,,,"{'Luis': '[1] /wiki/Luis_Montt_Montt', 'Pedro Montt': '[2] /wiki/Pedro_Montt'}"
Familia Montt,Jorge Guzmán Montt,,"2 de febrero de 1879 Santiago , Chile",,Chilena,político y abogado,Universidad de Chile Instituto Nacional Colegio San Ignacio Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Montt,Alberto Cruz Montt,,1879 Valparaíso,,Chilena,Arquitecto y profesor universitario,,Pontificia Universidad Católica de Chile Universidad de Chile,Arquitectura,,,{}
Familia Montt,Ismael Pérez Montt,,1847 Santiago,,Chilena,abogado y político,Universidad de Chile,,,,,{}
Familia Montt,Lorenzo Montt y Pérez de Valenzuela,,"1784 Casablanca , Reino de Chile , Imperio español",,,Agricultor y Político,,,,,,{}
Familia Montt,José Manuel Infante,,1835 Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,"Abogado , político y juez",Universidad de Chile,,,,,{}
Familia Montt,Jorge Montt,,"22 de abril de 1845 Casablanca , Chile","Santiago , Chile",Chileno,Oficial de Marina y político,Escuela Naval del Estado,,,,,{}
Familia Montt,Luis Montt Montt,,18 de abril de 1848,"Santiago , Chile",Chilena,Abogado y político,Universidad de Chile Instituto Nacional,,,,,"{'Pedro': '[1] /wiki/Pedro_Montt', 'Enrique Montt Montt': '[2] /wiki/Enrique_Montt_Montt'}"
Familia Morandé,Francisco Reyes Morandé,Eugenio Francisco Reyes Morandé,6 de julio de 1954 (70 años) Santiago de Chile ( Chile ),Santiago de Chile,Chilena,Actor,Colegio del Verbo Divino Pontificia Universidad Católica de Chile ( Arquitectura ; 1974-1979),,"Artes escénicas , cinematografía y televisión",,,{}
Familia Morandé,Felipe Morandé,,"15 de mayo de 1955 (69 años) Santiago , Chile","Santiago , Chile",Chilena,"Economista , académico , investigador , consultor y político",Universidad Católica de Chile,,,,,{}
Familia Morandé,Kike Morandé,Francisco Javier Enrique Morandé Peñafiel,"9 de agosto de 1954 (70 años) Santiago , Chile",,Chilena,Presentador de televisión y empresario,Duoc UC,,,,,{}
Familia Morandé,Eduardo Morandé,Eduardo Rafael Morandé Montt,"31 de enero de 1958 (67 años) Santiago , Chile",Santiago de Chile,Chileno,Economista,Universidad de Chile,,,,,{}
Familia Morandé,Eugenio Velasco Morandé,,17 de octubre de 1939 Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,"Ingeniero civil , empresario , dirigente gremial y atleta",Universidad Católica de Chile,,,,,{}
Familia Morandé,Hernán Alessandri Morandé,,"22 de febrero de 1935 Santiago de Chile , Chile Chile",,Chilena,Sacerdote,Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Morandé,María Correa Morandé,,26 de enero de 1912 Santiago de Chile ( Chile ),,Chilena,Política y escritora,,,,,,{}
Familia Ochagavía,Silvestre Ochagavía Echaurren,,28 de julio de 1862 Santiago de Chile ( Chile ),,Chilena,"Político , abogado y ministro",Universidad de Chile Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Ochagavía,Palacio Ochagavía,,,,,,,,,,,{}
Familia Ochagavía,Chacra Ochagavía,,,,,,,,,,,{}
Familia Ochagavía,Fernando Rojas Ochagavía,,14 de septiembre de 1974 (50 años),"Santiago , Chile",Chilena,Ingeniero civil y político,Universidad Católica de Chile,,,,,{}
Familia Ochagavía,Fernando Ochagavía Valdés,,26 de julio de 1928,,Chilena,Político,Pontificia Universidad Católica de Chile Colegio San Ignacio,,,,,{}
Familia Ochagavía,Silvestre Ochagavía Errázuriz,,"1820 Santiago , Chile",,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Ochagavía,Casona Ochagavía,,,,,,,,,,,{}
Familia Ochagavía,Ricardo Cruzat Ochagavía,,"6 de abril de 1962 (63 años) Santiago , Chile","Santiago , Chile",Chilena,Ingeniero comercial,Universidad de Chile,Grupo CGE,,,,{}
Familia Ochagavía,Álvaro Cruzat,,"1971 (48-49 años) Santiago , Chile","Santiago , Chile",Chilena,"Ingeniero agrónomo , ejecutivo de empresas y político",Universidad Católica de Chile,,,,,{}
Familia Philippi,Julio Philippi Izquierdo,Julio Philippi Izquierdo,"26 de diciembre de 1912 Santiago , Chile",,Chilena,"Abogado , diplomático , escritor , investigador, académico y político",Universidad Católica de Chile,,,,,{'Rodolfo Armando Philippi': '[1] /wiki/Rodolfo_Armando_Philippi'}
Familia Philippi,Bernhard Eunom Philippi,,19 de septiembre de 1811 Charlottenburg ( Alemania ),,Chilena,"Explorador , diplomático , escritor y político",Escuela Técnica de Berlín,,,,,{'Rodolfo Amando Philippi': '[1] /wiki/Rodolfo_Amando_Philippi'}
Familia Philippi,Rodulfo Amando Philippi,Rodolfo Amando Philippi Krumwiede,"14 de septiembre de 1808 Charlottenburg ( Reino de Prusia , actual Alemania )",,Chilena,"Biólogo , paleontólogo , zoólogo , ornitólogo, botánico , naturalista , profesor universitario , fotógrafo , geólogo , explorador científico, dibujante y malacólogo",Universidad Federico Guillermo,Universidad de Chile Pontificia Universidad Católica de Chile Museo Nacional de Historia Natural,Botánica,Academia de Ciencias de Turín (desde 1842),,{}
Familia Philippi,Federico Philippi,,"16 de diciembre de 1838 Nápoles , Italia Italia",Santiago de Chile,chilena,,,Museo Nacional de Historia Natural,"botánica , zoología",Academia Alemana de las Ciencias Naturales Leopoldina,,{}
Familia Pinto (Chile),Aníbal Pinto,Aníbal Nicolás Pinto Garmendia,"15 de marzo de 1825 Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,"{'Enriqueta Pinto': '[1] /wiki/Enriqueta_Pinto', 'José Joaquín Prieto': '[2] /wiki/Jos%C3%A9_Joaqu%C3%ADn_Prieto', 'Manuel Bulnes': '[3] /wiki/Manuel_Bulnes', 'José Ignacio Garmendia Suárez': '[4] /wiki/Jos%C3%A9_Ignacio_Garmendia_(militar)', 'Ignacio Carrera Pinto': '[5] /wiki/Ignacio_Carrera_Pinto'}"
Familia Pinto (Chile),Jaime Pinto,,,,,,,,,,,{}
Familia Pinto (Chile),Héctor Pinto,,,,,,,,,,,{}
Familia Pinto (Chile),Ignacio Carrera Pinto,Ignacio José Carrera Pinto,"5 de febrero de 1848 Santiago , Chile",Santiago,Chilena,"Arriero , Militar",,Intendencia de Santiago,,,,{}
Familia Pinto (Chile),Sebastián Pinto,,,,,,,,,,,{}
Familia Pinto (Chile),Serapio de Tezanos Pinto,Serapio de Tezanos Pinto Sánchez de Bustamante,"c.1805 San Salvador de Jujuy , Virreinato del Río de la Plata",,Argentina,Político y comerciante,,,,,,{}
Familia Pinto (Chile),Francisco A. Barroetaveña,,"20 de julio de 1856 Gualeguay , Entre Ríos , Argentina",,Argentina,"político, abogado, escritor",,,,,,{}
Familia Pinto (Chile),José Manuel Pinto Arias,,abril de 1818 Valparaíso ( Chile ),"Santiago , Chile",Chilena,Militar y político,Escuela Militar del Libertador Bernardo O'Higgins,,Infantería,,,{}
Familia Pinto (Chile),Antonio Pinto Durán,,"1882 La Serena , Chile Chile",,Chilena,Político y abogado,Pontificia Universidad Católica de Chile Universidad de Chile,,,,,{'Juan Pinto Durán': '[1] /wiki/Juan_Pinto_Dur%C3%A1n'}
Familia Pinto (Chile),Karen Gallardo,,,,,,,,,,,{}
Familia Pinto (Chile),Ernesto Pinto Lagarrigue,,"15 de septiembre de 1918 Santiago , Chile",,Chilena,Ingeniero civil y político,Universidad de Chile,,,,,{}
Familia Pinto (Chile),Julio Allard,Julio Allard Pinto,11 de junio de 1885 La Serena,,Chilena,Marino,Liceo Gregorio Cordovez,,,,,{}
Familia Pinto (Chile),David de Tezanos Pinto,David de Tezanos Pinto Grimwood,"10 de junio de 1849 Valparaíso , Chile Chile",,Chilena,"Abogado , profesor , funcionario",,,,Academia Nacional de Ciencias Económicas (Argentina),,{}
Familia Pinto (Chile),Mario Mutis,Mario Alejandro Arístides del Carmen Mutis Pinto,"20 de octubre de 1947 (77 años) Viña del Mar , Chile",,Chilena,músico,,,,Los Jaivas,,{}
Familia Pinto (Chile),Francisco Antonio Pinto,Francisco Antonio Pinto Díaz,"23 de julio de 1785 Santiago , Capitanía general de Chile",Buenos Aires ( Argentina ) Santiago ( Chile ),Chilena,"Militar , abogado y político",Real Universidad de San Felipe,,,Pipiolos (1823-1829),,"{'Delfina de la Cruz': '[1] /wiki/Delfina_de_la_Cruz', 'Manuel Bulnes': '[2] /wiki/Manuel_Bulnes', 'Francisco Rozas Mendiburú': '[3] /wiki/Francisco_Rozas_Mendibur%C3%BA', 'Ricardo Ariztía Urmeneta': '[4] /wiki/Ricardo_Arizt%C3%ADa_Urmeneta', 'Manuel Bulnes Pinto': '[5] /wiki/Manuel_Bulnes_Pinto', 'Francisco Antonio Pinto Cruz': '[6] /wiki/Francisco_Antonio_Pinto_Cruz', 'Ignacio Carrera Pinto': '[7] /wiki/Ignacio_Carrera_Pinto'}"
Familia Pinto (Chile),Carolina Marzán,Marta Carolina Marzán Pinto,"22 de diciembre de 1963 (61 años) Viña del Mar , Chile","Quilpué , Chile",Chilena,Actriz y política,,,,,,{}
Familia Pinto (Chile),Manuel de Tezanos Pinto (político),Manuel Joaquín de Tezanos Pinto,"15 de julio de 1760 Los Tojos , España España",,Argentina,Comerciante y político,,,,,,"{'Francisco A. Pinto': '[1] /wiki/Francisco_Antonio_Pinto', 'Aníbal Pinto': '[2] /wiki/An%C3%ADbal_Pinto', 'Manuel Guillermo Pinto': '[3] /wiki/Manuel_Guillermo_Pinto'}"
Familia Pinto (Chile),Julio Ortiz de Zárate,Julio Ortiz de Zárate Pinto,12 de abril de 1885 Santiago de Chile ( Chile ),,Chilena,Pintor y escultor,,,,Grupo Montparnasse Generación del 13,,{}
Familia Pinto (Chile),Julio Pinto Vallejos,,1956 (67-68 años) Chile,,Chilena,Historiador y académico,Universidad Yale,Universidad de Talca Universidad ARCIS Pontificia Universidad Católica de Chile Universidad de Santiago de Chile,,,,{}
Familia Pinto (Chile),Juan Pinto Durán,,13 de enero de 1913 La Serena ( Chile ),,Chilena,Abogado y dirigente deportivo,,,,,,{}
Familia Pinto (Chile),Manuel de Tezanos Pinto (constituyente),José Manuel de Tezanos Pinto Sánchez de Bustamante,"24 de marzo de 1797 San Salvador de Jujuy , Virreinato del Río de la Plata",,Argentina,"Abogado , político , comerciante",Universidad de Chuquisaca Universidad de San Carlos Real Colegio de Monserrat,,,,,{}
Familia Pinto (Chile),Sergio Pinto Briones,,"3 de octubre de 1977 (47 años) Santiago , Chile",España,chilena,"Poeta, artista visual, periodista y editor.",,,,,,{}
Familia Pinto (Chile),Manuel Bulnes Pinto,,"10 de junio de 1842 Santiago , Chile Chile","Santiago , Chile",Chilena,Militar y político,Colegio de los Sagrados Corazones de Santiago,,,,,"{'Francisco Antonio Pinto': '[1] /wiki/Francisco_Antonio_Pinto', 'Aníbal Pinto Garmendia': '[2] /wiki/An%C3%ADbal_Pinto_Garmendia'}"
Familia Pinto (Chile),Gonzalo Bulnes,,19 de noviembre de 1851 Santiago de Chile ( Chile ),,Chilena,Historiador y político,Colegio de los Sagrados Corazones de Santiago Instituto Nacional,,,Sociedad Chilena de Historia y Geografía,,{}
Familia Pinto (Chile),Arístides Pinto,,"7 de febrero de 1859 Talca , Chile",,Chilena,Militar y abogado,"Escuela Militar , Academia de Guerra del Ejército de Chile , Universidad de Chile",Ejército de Chile,,,,{}
Familia Pinto (Chile),Gloria Navarrete,,"Santiago , Chile","Santiago , Chile",Chilena,Abogada y política,,,,,,{}
Familia Pinto (Chile),César de Tezanos Pinto,César Leonardo de Tezanos Pinto Torres Agüero,"31 de octubre de 1885 Buenos Aires , Argentina",,Argentina,"Abogado , académico , docente",,,,,,{}
Familia Pinto (Chile),Eduardo Pinto (futbolista),,,,,,,,,,,{}
Familia Pinto (Chile),Marcial Pinto Agüero,,17 de marzo de 1851 Valparaíso ( Chile ),,Chilena,Militar,Escuela Militar del Libertador Bernardo O'Higgins,,,,,{}
Familia Pinto (Chile),Sergio Altamirano Pinto,,"18 de abril de 1920 Santiago , Chile","Santiago , Chile",Chilena,Médico cirujano y político,Universidad de Chile,,,,,{}
Familia Pinto (Chile),Aníbal Pinto Santa Cruz,,"21 de octubre de 1919 Recoleta , Santiago , Chile Chile",,Chilena,Economista,Escuela de Economía y Ciencia Política de Londres Universidad de Chile,Universidad de Chile,,,,{}
Familia Pinto (Chile),Malucha Pinto,Malucha Pinto Solari,"16 de abril de 1955 (69 años) Santiago , Chile","Peñalolén , Chile",Chilena,"Actriz , directora de teatro , escritora y dramaturga",,,,,,{}
Familia Pinto (Chile),Jorge de Tezanos Pinto,Jorge Joaquín de Tezanos Pinto Sánchez de Bustamante,"23 de abril de 1816 San Salvador de Jujuy , Argentina",,Argentina,"Comerciante , diplomático , militar",,,,,,{}
Familia Pinto (Chile),Amed Pinto,,,,,,,,,,,{}
Familia Pinto (Chile),Jorge Pinto Rodríguez,Jorge Manuel Pinto Rodríguez,"18 de diciembre de 1944 (80 años) La Serena , Chile","Villa Alemana , Chile",Chilena,Historiador y escritor de no ficción,Instituto Pedagógico ( Pedagogía en Historia ) Universidad de Southampton ( Ph.D. en Historia),Universidad Católica de Temuco,,Academia Chilena de la Historia,,{}
Familia Pinto (Chile),Lucía Pinto,Lucía Pilar Pinto Ramírez,"18 de septiembre de 1975 (49 años) Vicuña , Chile","La Serena , Chile",Chilena,Periodista y política,,,,,,{}
Familia Pinto (Chile),Pinto (Chile),,,,,,,,,,,{}
Familia Pinto (Chile),Aníbal Pinto (futbolista),,,,,,,,,,,{}
Familia Pinto (Chile),Enriqueta Pinto,,"1817 Tucumán , Provincias Unidas del Río de la Plata",,Chilena,Ama de casa,,,,,,{'Aníbal Pinto Garmendia': '[1] /wiki/An%C3%ADbal_Pinto_Garmendia'}
Familia Pinto (Chile),Carlos Pinto,Carlos Nelson Pinto Sepúlveda,"12 de mayo de 1959 (65 años) Santiago , Chile",Santiago de Chile,Chilena,"Periodista , presentador de televisión , narrador, guionista y escritor",,,Reportaje y criminología,,,{'Familia Pinto': '[1] /wiki/Familia_Pinto'}
Familia Pinto (Chile),Nelson Pinto,,,,,,,,,,,{}
Familia Pinto (Chile),Manuel Carrera Pinto,,,,,,,,,,,{}
