Familia,Miembro,Nombre Completo,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Empleador,Área,Medios,Movimientos,Familiares
Familia Bulnes,Manuel Bulnes,,"25 de diciembre de 1799 Concepción , Capitanía General de Chile",,Chilena,Militar y político,Instituto Nacional,,,,,"{'Joaquín Prieto': '[1] /wiki/Joaqu%C3%ADn_Prieto', 'Francisco Antonio Pinto': '[2] /wiki/Francisco_Antonio_Pinto', 'Aníbal Pinto': '[3] /wiki/An%C3%ADbal_Pinto'}"
Familia Bulnes,Mercedes Bulnes,María Mercedes Bulnes Núñez,"6 de junio de 1950 Valdivia , Chile Chile",Santiago de Chile,Chilena,Abogada y política,,,,,,{}
Familia Bulnes,Bulnes (Cabrales),,,,,,,,,,,{}
Familia Bulnes,Manuel Bulnes Pinto,,"10 de junio de 1842 Santiago , Chile Chile","Santiago , Chile",Chilena,Militar y político,Colegio de los Sagrados Corazones de Santiago,,,,,"{'Francisco Antonio Pinto': '[1] /wiki/Francisco_Antonio_Pinto', 'Aníbal Pinto Garmendia': '[2] /wiki/An%C3%ADbal_Pinto_Garmendia'}"
Familia Bulnes,Gonzalo Bulnes,,19 de noviembre de 1851 Santiago de Chile ( Chile ),,Chilena,Historiador y político,Colegio de los Sagrados Corazones de Santiago Instituto Nacional,,,Sociedad Chilena de Historia y Geografía,,{}
Familia Bulnes,Luis Hernán Granier Bulnes,,,,,,,,,,,{}
Familia Bulnes,Manuel Bulnes Quevedo,,16 de junio de 1767 Concepción ( Chile ),,,Militar,,,,,,{}
Familia Bulnes,Felipe Bulnes,,"27 de mayo de 1969 (55 años) Santiago , Chile","Santiago , Chile",Chilena,"Abogado , académico y político",Universidad Católica de Chile,Pontificia Universidad Católica de Chile,,Colegio de Abogados de Chile,,"{'Manuel Bulnes': '[1] /wiki/Manuel_Bulnes', 'Gonzalo Bulnes': '[2] /wiki/Gonzalo_Bulnes_Pinto', 'Francisco Bulnes': '[3] /wiki/Francisco_Bulnes_Sanfuentes', 'Manuel Pellegrini': '[4] /wiki/Manuel_Pellegrini', 'Familia Vial': '[5] /wiki/Familia_Vial'}"
Familia Bulnes,Luz Bulnes,,11 de agosto de 1927,,Chilena,Abogada,,Universidad de Chile,,,,{}
Familia Bulnes,Jaime Bulnes Sanfuentes,,"21 de febrero de 1923 Santiago , Chile Chile",,Chilena,Político y empresario,Pontificia Universidad Católica de Chile Colegio San Ignacio,,,,,"{'Francisco Bulnes Sanfuentes': '[1] /wiki/Francisco_Bulnes_Sanfuentes', 'Manuel Bulnes Sanfuentes': '[2] /wiki/Manuel_Bulnes_Sanfuentes', 'Juan Luis Sanfuentes': '[3] /wiki/Juan_Luis_Sanfuentes', 'Aníbal Pinto Garmendia': '[4] /wiki/An%C3%ADbal_Pinto_Garmendia', 'Manuel Bulnes Prieto': '[5] /wiki/Manuel_Bulnes_Prieto', 'Francisco Antonio Pinto': '[6] /wiki/Francisco_Antonio_Pinto'}"
Familia Bulnes,Juan Luis Ossa Bulnes,,"11 de octubre de 1942 (82 años) Santiago , Chile","Santiago , Chile",Chilena,"Abogado , economista , profesor , escritor y político",Pontificia Universidad Católica de Chile,,,,,{}
Familia Bulnes,Francisco Bulnes Sanfuentes,,"8 de agosto de 1917 Santiago , Chile","Las Condes , Chile",Chilena,Abogado y político,Universidad Católica de Chile,,,,,"{'Jaime Bulnes Sanfuentes': '[1] /wiki/Jaime_Bulnes_Sanfuentes', 'Manuel Bulnes Sanfuentes': '[2] /wiki/Manuel_Bulnes_Sanfuentes', 'Francisco Antonio Pinto': '[3] /wiki/Francisco_Antonio_Pinto', 'Manuel Bulnes Prieto': '[4] /wiki/Manuel_Bulnes_Prieto', 'Juan Luis Sanfuentes': '[5] /wiki/Juan_Luis_Sanfuentes', 'Felipe Bulnes Serrano': '[6] /wiki/Felipe_Bulnes_Serrano', 'Juan Luis Ossa Bulnes': '[7] /wiki/Juan_Luis_Ossa_Bulnes'}"
Familia Bulnes,Manuel Bulnes Sanfuentes,,1 de mayo de 1911 Santiago de Chile ( Chile ),,Chilena,Político y abogado,Pontificia Universidad Católica de Chile,,,,,"{'Jaime Bulnes Sanfuentes': '[1] /wiki/Jaime_Bulnes_Sanfuentes', 'Francisco Bulnes Sanfuentes': '[2] /wiki/Francisco_Bulnes_Sanfuentes', 'Aníbal Pinto Garmendia': '[3] /wiki/An%C3%ADbal_Pinto_Garmendia', 'Manuel Bulnes Prieto': '[4] /wiki/Manuel_Bulnes_Prieto', 'Francisco Antonio Pinto': '[5] /wiki/Francisco_Antonio_Pinto', 'Juan Luis Sanfuentes': '[6] /wiki/Juan_Luis_Sanfuentes'}"
Familia Bulnes,Francisco Bulnes Correa,,"6 de agosto de 1886 Santiago , Chile",,Chilena,Político y abogado,Universidad de Chile,,,,,{}
Familia Bunster,Jorge Gabriel Larraín,,30 de octubre de 1940 (84 años),"Santiago , Chile",Chileno,"Ingeniero comercial , académico y empresario",Universidad Católica de Chile,,,,,"{'Familia Larraín': '[1] /wiki/Familia_Larra%C3%ADn', 'Claudio Orrego Larraín': '[2] /wiki/Claudio_Orrego'}"
Familia Bunster,Jorge Bunster,,"17 de marzo de 1953 (72 años) Santiago , Chile","Santiago , Chile",Chilena,Ingeniero comercial y empresario,Universidad Católica de Chile,,,,,{}
Familia Bunster,Claudio Bunster,,15 de abril de 1947 (77 años) Santiago de Chile ( Chile ),,Chilena,Físico,Universidad de Princeton Universidad de Chile Liceo Experimental Manuel de Salas,,,Academia Nacional de Ciencias de los Estados Unidos (desde 2005),,{}
Familia Carvajal y Vargas,Condado de Castillejo,,,,,,,,,,,{}
Familia Carvajal y Vargas,Mariano de Silva y Carvajal,Mariano de Silva y Carvajal,2 de abril de 1875 Madrid,,Española,Político,,,,,,{}
Familia Carvajal y Vargas,Francisco de Carvajal y Vargas,Francisco Sancho de Carvajal Vargas y Córdoba Mendoza,"29 de octubre de 1611 Lima ( Virreinato del Perú , Imperio español )",,,Administrador colonial,,,,,,{}
Familia Carvajal y Vargas,Corregimiento de Conchucos,,,,,,,,,,,{}
Familia Carvajal y Vargas,Casilda de Silva y Fernández de Henestrosa,,,,,,,,,,,{}
Familia Carvajal y Vargas,Familia Carvajal Vargas,,,,,,,,,,,{}
Familia Carvajal y Vargas,Ducado de San Carlos,,,,,,,,,,,{}
Familia Carvajal y Vargas,Isabel de Silva y Carvajal,,,,,,,,,,,{}
Familia Carvajal y Vargas,Fermín Francisco de Carvajal Vargas,,,,,,,,,,,{}
Familia Carvajal y Vargas,José Miguel de Carvajal y Manrique,,8 de mayo de 1771 Lima ( Perú ),,Española,"Diplomático , militar y político",,,,Real Academia Española,,{}
Familia Carvajal y Vargas,Condado de Carvajal,,,,,,,,,,,{}
Familia Carvajal y Vargas,Luis Fermín de Carvajal,Luis Fermín de Carvajal Vargas y Brun,27 de diciembre de 1752 Lima ( Perú ),,Española,Militar,,,,,,{}
Familia Cavada,Ignacio Alfonso Cavada,,Siglo XIX La Serena ( Chile ),,Chilena,Abogado,,,,,,{}
Familia Cavada,Ignacio Verdugo Cavada,,"12 de octubre de 1887 Concepción , Chile Chile",,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Cavada,José Alfonso Cavada,José Andrés Alfonso Cavada,4 de febrero de 1832 La Serena ( Chile ),,Chilena,Juez,Liceo Gregorio Cordovez Instituto Nacional,,,,,{}
Familia Cavada,Antonio Alfonso Cavada,,3 de marzo de 1826 La Serena ( Chile ),,Chilena,Profesor en la Universidad de San Marcos,Universidad de Chile,,Ingeniería en minas Química general,,,{}
Familia Cavada,Santos Cavada Carvajal,,1826 La Serena ( Chile ),,Chilena,Juez y abogado,Universidad de Chile,,,,,{}
Familia Cavada,Carlos Oviedo Cavada,,,,,,,,,,,{}
Familia Cavada,Rafael Cavada,Rafael Antonio Cavada de Vasconcellos,15 de diciembre de 1967 (57 años) Vallenar ( Chile ),,Chilena,Periodista,Universidad de Chile,,,,,{}
Familia Cavada,Francisco Cavada,,"9 de noviembre de 1864 Ancud , Chiloé , Chile",,Chilena,Escritor y sacerdote,,,,,,{}
Familia Cavada,Darío Cavada,,13 de agosto de 1869 Ancud ( Chile ),,chilena,Profesor,,,,,,{}
Familia Chadwick,José Antonio Viera-Gallo,José Antonio César Bernardo Viera-Gallo Quesney,"2 de diciembre de 1943 (81 años) Santiago , Chile","Santiago , Chile",Chilena,Abogado y politólogo,Pontificia Universidad Católica de Chile,Director de AFP Provida,,,,"{'Herman Chadwick Valdés': '[1] /wiki/Herman_Chadwick_Vald%C3%A9s', 'Andrés Chadwick': '[2] /wiki/Andr%C3%A9s_Chadwick', 'Rodrigo Salinas': '[3] /wiki/Rodrigo_Salinas_(comediante)', 'Claudia di Girolamo': '[4] /wiki/Claudia_di_Girolamo'}"
Familia Chadwick,Familia Chadwick,,,,,,,,,,,{}
Familia Chadwick,Herman Chadwick Larraín,,2 de abril de 1968 (57 años) Santiago de Chile ( Chile ),,,"abogado, síndico de quiebras",,,,,,{}
Familia Chadwick,Herman Chadwick Valdés,Herman Alfredo Chadwick Valdés,"28 de octubre de 1913 La Serena , Chile",,chilena,"Abogado , Notario , Conservador de Bienes Raíces",,,,,,{'Familia Chadwick': '[1] /wiki/Familia_Chadwick'}
Familia Chadwick,Tomás Chadwick Valdés,,26 de agosto de 1911 La Serena ( Chile ),,Chilena,Abogado y político,Universidad de Chile,,,,,{}
Familia Chadwick,Casa Chadwick,,,,,,,,,,,{}
Familia Chadwick,María Teresa Chadwick Piñera,,"1948 (73 años) Santiago , Chile","Santiago , Chile",Chilena,Psicóloga y política,,,,,,"{'Andrés Chadwick': '[1] /wiki/Andr%C3%A9s_Chadwick', 'Herman Chadwick Piñera': '[2] /wiki/Herman_Chadwick_Pi%C3%B1era'}"
Familia Chadwick,Consuelo Valdés,,"9 de octubre de 1948 (76 años) Santiago , Chile","Providencia , Chile",Chilena,Arqueóloga y política,,,,,,{}
Familia Chadwick,Andrés Chadwick,,"2 de enero de 1956 (69 años) Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad Católica de Chile,Universidad Católica de Chile Universidad Finis Terrae,,Chile Vamos [ 1 ] ​,,"{'Herman Chadwick Piñera': '[1] /wiki/Herman_Chadwick_Pi%C3%B1era', 'María Teresa Chadwick Piñera': '[2] /wiki/Mar%C3%ADa_Teresa_Chadwick_Pi%C3%B1era', 'Sebastián Piñera Echenique': '[3] /wiki/Sebasti%C3%A1n_Pi%C3%B1era_Echenique', 'José Antonio Viera-Gallo': '[4] /wiki/Jos%C3%A9_Antonio_Viera-Gallo', 'Pablo Piñera Echenique': '[5] /wiki/Pablo_Pi%C3%B1era_Echenique', 'José Piñera Echenique': '[6] /wiki/Jos%C3%A9_Pi%C3%B1era_Echenique', 'Bernardino Piñera Carvallo': '[7] /wiki/Bernardino_Pi%C3%B1era_Carvallo'}"
Familia Chadwick,Viña Errázuriz,,,,,,,,,,,{}
Familia Chadwick,Rodrigo Salinas (comediante),Rodrigo Salvador Salinas Marambio,"1 de febrero de 1975 (50 años) Santiago , Chile",,Chilena,"Dibujante , ilustrador , guionista , cómico",Colegio San Ignacio,,,,,{}
Familia Chadwick,Juan Alfonso Chadwick Errázuriz,,1 de marzo de 1914 Santiago de Chile ( Chile ),,Chilena,"Empresario , polista y emprendedor",Pontificia Universidad Católica de Chile,,,,,{}
Familia Chadwick,Patricio Fernández,Patricio Fernández Chadwick,"21 de septiembre de 1969 (55 años) Santiago , Chile",,Chilena,"Periodista , analista político y escritor",Pontificia Universidad Católica de Chile ( Pregrado ) Universidad de Florencia ( Arte del Renacimiento ),,,,,{'Herman Chadwick Valdés': '[1] /wiki/Herman_Chadwick_Vald%C3%A9s'}
Familia Chadwick,Herman Chadwick Piñera,,16 de abril de 1945 (79 años),"Santiago , Chile",Chilena,"Abogado , dirigente gremial y político",Universidad Católica de Chile,,,,,"{'Andrés Chadwick Piñera': '[1] /wiki/Andr%C3%A9s_Chadwick_Pi%C3%B1era', 'María Teresa Chadwick Piñera': '[2] /wiki/Mar%C3%ADa_Teresa_Chadwick_Pi%C3%B1era'}"
Familia Chadwick,Guillermo Chadwick Ortúzar,,"8 de agosto de 1887 Santiago , Chile",,Chilena,Político y empresario,Pontificia Universidad Católica de Chile,,,Sociedad Nacional de Agricultura Club de la Unión,,{}
Familia Chadwick,Francisco de la Maza Chadwick,Francisco de la Maza Chadwick,"25 de junio de 1957 (67 años) Santiago , Chile","Santiago , Chile",Chilena,"Constructor , empresario , político",Universidad Católica de Chile,,,,,{}
Familia Chadwick,Isla Jéchica,,,,,,,,,,,{}
Familia Chadwick,Eduardo Chadwick Claro,Eduardo Alejandro Chadwick Claro,20 de marzo de 1959 (66 años) Santiago de Chile ( Chile ),,Chilena,Empresario y emprendedor,,,,,,{}
Familia Concha (Chile),Juan Enrique Concha Subercaseaux,,12 de mayo de 1876 Santiago de Chile ( Chile ),,Chilena,"Abogado , político y académico",Pontificia Universidad Católica de Chile Colegio San Ignacio,,,,,"{'Carlos Concha Subercaseaux': '[1] /wiki/Carlos_Concha_Subercaseaux', 'Emiliana Concha de Ossa': '[2] /wiki/Emiliana_Concha_de_Ossa'}"
Familia Concha (Chile),Aquiles Concha Stuardo,,"2 de julio de 1885 Santiago , Chile",,Chilena,Ingeniero y político,Escuela de Artes y Oficios,,,,,{}
Familia Concha (Chile),Mariano Puga,Mariano Puga Concha,"25 de abril de 1931 Santiago , Chile",,Chilena,"Sacerdote católico , músico , activista y defensor de los derechos humanos",Pontificia Universidad Católica de Chile The Grange School,Pontificia Universidad Católica de Chile,,,,{}
Familia Concha (Chile),Juvencio Valle,Gilberto Concha Riffo,6 de noviembre de 1900 Nueva Imperial ( Chile ),,Chilena,Escritor y poeta,,,,,,{}
