Nombre,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Trabajos previos,Área,Partido político,Familia,URL
José Rafael Balmaceda,"23 de agosto de 1850Renca, Chile Chile",,chilena,político y diplomático; Diputado de Chile; Senador de Chile; ,Katholieke Universiteit Leuven; Bélgica,,,Partido Liberal; Partido Liberal Democrático,Manuel José Balmaceda Ballesteros (https://es.wikipedia.org/wiki/Manuel_de_Balmaceda_Ballesteros); ; Ernesto Balmaceda Bello (https://es.wikipedia.org/wiki/Ernesto_Balmaceda_Bello); José Manuel Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda); José Daniel Balmaceda Fernández (https://es.wikipedia.org/wiki/Jos%C3%A9_Daniel_Balmaceda_Fern%C3%A1ndez); José Elías Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_El%C3%ADas_Balmaceda); Emilio Bello Codesido (https://es.wikipedia.org/wiki/Emilio_Bello_Codesido); ,https://es.wikipedia.org/wiki/Jos%C3%A9_Rafael_Balmaceda
José Elías Balmaceda,1 de diciembre de 1849 Santiago de Chile (Chile),,Chilena,"Político; ,; agricultor; y; poeta; Senador de Chile; ",,,,,,https://es.wikipedia.org/wiki/Jos%C3%A9_El%C3%ADas_Balmaceda
Emilia de Toro,"14 de noviembre de 1845Concepción, Chile Chile",,Chilena,Primera dama; ,,; Primera dama de Chile – 18 de septiembre de 1886-29 de agosto de 1891; ,,,; José Manuel Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda); ; ; Mateo de Toro y Zambrano (https://es.wikipedia.org/wiki/Mateo_de_Toro_y_Zambrano); ,https://es.wikipedia.org/wiki/Emilia_de_Toro_Herrera
Pedro Balmaceda,"23 de abril de 1868 Santiago, Chile",,Chilena,Periodista; ,,,,,José Manuel Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda); ; Emilia de Toro Herrera (https://es.wikipedia.org/wiki/Emilia_de_Toro); ; ,https://es.wikipedia.org/wiki/Pedro_Balmaceda
Enrique Balmaceda,"3 de marzo de 1878 Santiago, Chile",,Chilena,Político; y; diplomático; ,,"Embajador de Chile; Inglaterra; ;  – 15 de marzo de 1953-14 de noviembre de 1958; ; Ministro de Bienestar Social de Chile; Interino – 26 de marzo-20 de abril de 1928; ; Alcalde de Santiago – 18 de octubre de 1928-29 de agosto de 1929; ; Ministro de Obras Públicas, Comercio y Vías de Comunicación de Chile – 6-29 de septiembre de 1927; ; Ministro del Interior de Chile – 23 de mayo de 1927-22 de febrero de 1928; ; Ministro de Justicia e Instrucción Pública de Chile – 21 de julio de 1927-24 de febrero de 1928; ; Ministro de Guerra y Marina de Chile – 13 de mayo-17 de agosto de 1921; ; Diputado de la República de Chile; Castro – 15 de mayo de 1918-15 de mayo de 1924; ; Diputado de la República de Chile; Itata – 1 de marzo de 1906-1 de marzo de 1909; ",,Partido Liberal Democrático; ,José Manuel Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda); ; Emilia de Toro Herrera (https://es.wikipedia.org/wiki/Emilia_de_Toro); ; ,https://es.wikipedia.org/wiki/Enrique_Balmaceda_Toro
Tomás Jocelyn-Holt,"16 de enero de 1963 (62 años)Santiago, Chile",,Chilena,Político; ,Pontificia Universidad Católica de Chile,; Diputado de la República de Chile; Distrito N.º 24; La Reina; Peñalolén – 11 de marzo de 1994-11 de marzo de 2002; ; Presidente; Federación de Estudiantes de la Universidad Católica de Chile – 1985-1986; ,,Partido Demócrata Cristiano; ,; ; ; ,https://es.wikipedia.org/wiki/Tom%C3%A1s_Jocelyn-Holt
Raúl Marín Balmaceda,"14 de noviembre de 1907Santiago,  Chile",,Chilena,Abogado; y; político; ,Universidad de Chile,; Senador de la República de Chile; 2ª Agrupación Provincial; Atacama; Coquimbo – 15 de mayo de 1949-20 de agosto de 1957; ; Diputado de la República de Chile; 4ª Agrupación Departamental; La Serena; Coquimbo; Elqui; Ovalle; Combarbalá; Illapel – 15 de mayo de 1937-15 de mayo de 1949; ,,; Partido Liberal,; ; José Manuel Balmaceda (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda); ,https://es.wikipedia.org/wiki/Ra%C3%BAl_Mar%C3%ADn_Balmaceda
Aníbal Pinto,"15 de marzo de 1825 Santiago, Chile","Santiago, Chile",Chilena,Abogado; y; político; ,Universidad de Chile,; Presidente de la República de Chile – 18 de septiembre de 1876-18 de septiembre de 1881; ; Ministro de Guerra y Marina de Chile – 28 de septiembre de 1871-3 de abril de 1875; Intendente; provincia de Concepción – 1863-1870; ; Senador suplente de la República de Chile – 1870-1879; ; Diputado de la República de Chile; Ovalle; Parral; Chillán; Nacimiento – 1852-1870; ,,; Partido Liberal,Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); ; Luisa Garmendia Alurralde (https://es.wikipedia.org/wiki/Luisa_Garmendia); ; Delfina de la Cruz Zañartu (https://es.wikipedia.org/wiki/Delfina_de_la_Cruz_Za%C3%B1artu); Francisco (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto_Cruz); Enriqueta Pinto (https://es.wikipedia.org/wiki/Enriqueta_Pinto); José Joaquín Prieto (https://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_Prieto); Manuel Bulnes (https://es.wikipedia.org/wiki/Manuel_Bulnes); José Ignacio Garmendia Suárez (https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Garmendia_(militar)); Ignacio Carrera Pinto (https://es.wikipedia.org/wiki/Ignacio_Carrera_Pinto); ,https://es.wikipedia.org/wiki/Aníbal_Pinto
Francisco Antonio Pinto,"23 de julio de 1785Santiago, Capitanía general de Chile",Buenos Aires (Argentina)Santiago (Chile),Chilena,"Militar; ,; abogado; y; político; ",Real Universidad de San Felipe,; Presidente de la Cámara de Diputados de Chile – 30 de mayo de 1843-2 de junio de 1845; ; Presidente del Senado de Chile – 13 de septiembre de 1847-4 de junio de 18495 de julio - 6 de agosto de 1847; ; Diputado de la República de Chile; La Serena – 1843-1846; ; Senador de la República de Chile – 1846-18 de julio de 1858†; ; Presidente de la República de Chile – 19 de octubre-2 de noviembre de 1829; ; Presidente interino de la República de Chile – 8 de mayo de 1827-16 de julio de 1829; ; Vicepresidente de la República de Chile – 15 de febrero-8 de mayo de 1827; ; Ministro de Gobierno; Relaciones Exteriores de Chile – 12 de julio-22 de febrero de 1825; ; Intendente de Coquimbo – 5 de abril de 1825-1826; ; Ministro de Guerra de Chile – 2 de octubre de 1824-22 de febrero de 1825; ,,Partido Liberal,; Luisa Garmendia Alurralde (https://es.wikipedia.org/wiki/Luisa_Garmendia_Alurralde); Aníbal (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto); Enriqueta (https://es.wikipedia.org/wiki/Enriqueta_Pinto); Delfina de la Cruz (https://es.wikipedia.org/wiki/Delfina_de_la_Cruz); Manuel Bulnes (https://es.wikipedia.org/wiki/Manuel_Bulnes); Francisco Rozas Mendiburú (https://es.wikipedia.org/wiki/Francisco_Rozas_Mendibur%C3%BA); Ricardo Ariztía Urmeneta (https://es.wikipedia.org/wiki/Ricardo_Arizt%C3%ADa_Urmeneta); Manuel Bulnes Pinto (https://es.wikipedia.org/wiki/Manuel_Bulnes_Pinto); Francisco Antonio Pinto Cruz (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto_Cruz); Ignacio Carrera Pinto (https://es.wikipedia.org/wiki/Ignacio_Carrera_Pinto); ,https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto
Luisa Garmendia,"1797Provincia de Tucumán, Virreinato del Río de la Plata,  Reino de España",,Argentina,Ama de casa; ,,; Primera dama de Chile – 19 de octubre-2 de noviembre de 1829; ,,,; Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); ; Enriqueta (https://es.wikipedia.org/wiki/Enriqueta_Pinto); Aníbal (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto); José Ignacio Garmendia y Alurralde (https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Garmendia_y_Alurralde); ,https://es.wikipedia.org/wiki/Luisa_Garmendia_Alurralde
