Nombre,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Trabajos previos,Área,Partido político,Familia,URL
Francisco Vidal Salinas,"20 de septiembre de 1953 (71 años)Santiago, Chile","Santiago, Chile",Chilena,Profesor; y; político; ,Universidad de Chile,; Ministro de Defensa Nacional de Chile – 12 de marzo de 2009-11 de marzo de 2010; ; Ministro Secretario General de Gobierno de Chile – 6 de diciembre de 2007-12 de marzo de 2009; ; Ministro del Interior de Chile – 24 de mayo de 2005-11 de marzo de 2006; ; Subsecretario de Desarrollo Regional y Administrativo de Chile – 11 de marzo de 2000-3 de marzo de 2003; ,,; Partido por la Democracia; ; Partido Nacional,; ; ; Julio Montt Momberg (https://es.wikipedia.org/wiki/Julio_Montt_Momberg); Julio Montt Vidal (https://es.wikipedia.org/wiki/Julio_Montt_Vidal); ,https://es.wikipedia.org/wiki/Francisco_Vidal_Salinas
Mario Garrido Montt,29 de marzo de 1927,,Chilena,Abogado; ,Universidad de Chile,; Presidente de la Corte Suprema de Chile – 2002-2003; ,,,,https://es.wikipedia.org/wiki/Mario_Garrido_Montt
Pedro Montt Leiva,1956,"Santiago, Chile",Chilena,Profesor; de; ciencias naturales; y; química; y; político; ,Universidad Católica de Chile,; Subsecretario de Educación de Chile – 11 de marzo de 2004-11 de marzo de 2006; ,,; Partido Demócrata Cristiano,; ; ,https://es.wikipedia.org/wiki/Pedro_Montt_Leiva
Raúl Celis Montt,"5 de septiembre de 1962 (62 años)Viña del Mar, Chile","Viña del Mar, Chile",Chilena,Abogado; y; político; ,Sede Valparaíso de la Universidad de Chile,; Convención Constitucional de la República de Chile – 6 de enero de 2022-11 de abril de 2022; ; Convencional constituyentede la República de Chile; Distrito N° 7; Isla de Pascua; Juan Fernández; Valparaíso; Concón; Viña del Mar; Algarrobo; Cartagena; Casablanca; El Quisco; El Tabo; San Antonio; Santo Domingo – 4 de julio de 2021-4 de julio de 2022; ; Intendente de la Región de Valparaíso – 11 de marzo de 2010-11 de marzo de 2014; ,,Renovación Nacional,; ; Andrés Celis (https://es.wikipedia.org/wiki/Andr%C3%A9s_Celis); Víctor R. Celis Maturana (https://es.wikipedia.org/wiki/V%C3%ADctor_R._Celis_Maturana); ,https://es.wikipedia.org/wiki/Raúl_Celis_Montt
Andrés Celis,"8 de abril de 1975 (50 años)Viña del Mar, Chile","Viña del Mar, Chile",Chilena,Político; ,Universidad Adolfo Ibáñez,; Diputado de la República de Chile; Distrito N.º 7; Algarrobo; Cartagena; Casablanca; Concón; El Quisco; El Tabo; Isla de Pascua; Juan Fernández; San Antonio; Santo Domingo; Valparaíso; Viña del Mar – Desde el 11 de marzo de 2018; ; Concejal de Viña del Mar – 6 de diciembre de 2000-18 de noviembre de 2016; ,,; Renovación Nacional,; Raúl Celis Montt (https://es.wikipedia.org/wiki/Ra%C3%BAl_Celis_Montt); Víctor R. Celis Maturana (https://es.wikipedia.org/wiki/V%C3%ADctor_R._Celis_Maturana); ,https://es.wikipedia.org/wiki/Andr%C3%A9s_Celis
Víctor R. Celis Maturana,"24 de octubre de 1880San Vicente, Chile","Santiago, Chile",Chilena,Abogado; y; político; ,Instituto Nacional; Universidad de Chile,; Senador de la República de Chile; Santiago – 15 de mayo-11 de septiembre de 1924; ; Ministro de Hacienda de Chile – 16 de marzo-14 de junio de 1923; ; Diputado de la República de Chile; Santiago – 15 de mayo de 1918-15 de mayo de 1924; ,,; Partido Radical,; ; ; Raúl (https://es.wikipedia.org/wiki/Ra%C3%BAl_Celis_Montt); Andrés Celis (https://es.wikipedia.org/wiki/Andr%C3%A9s_Celis); ,https://es.wikipedia.org/wiki/V%C3%ADctor_R._Celis_Maturana
Andrés Wood,14 de septiembre de 1965  (59 años)Santiago de Chile (Chile),,Chilena,"Director de cine; ,; guionista; y; productor de cine; ",Pontificia Universidad Católica de Chile; Ingeniería comercial; Universidad de Nueva York; Cinematografía; Saint George's College,,,,; ; ,https://es.wikipedia.org/wiki/Andrés_Wood
Cristo Montt,"2 de julio de 1981  (43 años) Santiago, Chile","Los Ángeles, California, Estados Unidos",Chilena,Actor; ,Saint George's College,,,,,https://es.wikipedia.org/wiki/Cristo_Montt
Antonia Zegers,"29 de junio de 1972 (52 años)Santiago, Chile",Santiago de Chile,Chilena,Actriz; ,,,,,; Pablo Larraín (https://es.wikipedia.org/wiki/Pablo_Larra%C3%ADn); ; ,https://es.wikipedia.org/wiki/Antonia_Zegers
María Eugenia Larraín,16 de octubre de 1973 (51 años) Chile,,Chilena,"Ingeniera comercial; ,; modelo; ",Liceo Experimental Manuel de Salas,,,,; Marcelo Ríos (https://es.wikipedia.org/wiki/Marcelo_R%C3%ADos); ; ,https://es.wikipedia.org/wiki/María_Eugenia_Larraín
Fernando Larraín,"21 de septiembre de 1962 (62 años)Santiago, Chile",,Chilena,"Actor; ,; locutor de radio; ,; comediante; ,; presentador de televisión; ,; cantante; ",,,,,Fernando Larraín Munita (https://es.wikipedia.org/wiki/Mago_Larra%C3%ADn); ; ; Nicolás Larraín (https://es.wikipedia.org/wiki/Nicol%C3%A1s_Larra%C3%ADn); Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); ,https://es.wikipedia.org/wiki/Fernando_Larraín
Mago Larraín,"6 de abril de 1935Santiago, Chile",,Chilena,"ilusionista; ,; actor; ,; locutor; ,; constructor civil; ",,,,,; Fernando Larraín (https://es.wikipedia.org/wiki/Fernando_Larra%C3%ADn); Pablo Larraín; Nicolás Larraín (https://es.wikipedia.org/wiki/Nicol%C3%A1s_Larra%C3%ADn); Matías Larraín; María Paz Larraín; José Tomás Larraín; Constanza Larraín; ,https://es.wikipedia.org/wiki/Mago_Larra%C3%ADn
Nicolás Larraín,"19 de mayo de 1965 (59 años)Santiago, Chile",,Chilena,"Presentador de televisión; ,; locutor; de; radio; ,; actor; ,; comediante; ,; músico; ,; compositor; ,; empresario; ",,,,,Fernando Larraín Munita (https://es.wikipedia.org/wiki/Mago_Larra%C3%ADn); ; Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); Fernando Larraín (https://es.wikipedia.org/wiki/Fernando_Larra%C3%ADn); ,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Larra%C3%ADn
Juan Cristóbal Guarello,"15 de marzo de 1969 (56 años)Santiago, Chile",,Chilena,"Comentarista deportivo de radio y televisión, escritor; ",Universidad Diego Portales; Periodismo; Pontificia Universidad Católica de Chile; Postítulo,,,,; [1]; Ángel Guarello (https://es.wikipedia.org/wiki/%C3%81ngel_Guarello); Fernando Guarello Fitz-Henry (https://es.wikipedia.org/wiki/Fernando_Guarello_Fitz-Henry); Alejandro Guarello (https://es.wikipedia.org/wiki/Alejandro_Guarello); Fernando (https://es.wikipedia.org/wiki/Fernando_Larra%C3%ADn); Nicolás Larraín (https://es.wikipedia.org/wiki/Nicol%C3%A1s_Larra%C3%ADn); Antonia Orellana (https://es.wikipedia.org/wiki/Antonia_Orellana); ,https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello
Ángel Guarello,30 de octubre de 1866 Valparaíso (Chile),"Valparaíso, Chile",Chilena,Político; y; abogado; ,,"; Alcalde de Valparaíso – diciembre de 1926-junio de 1927; ; Ministro de Industria, Obras Públicas y Ferrocarriles de Chile – 5 de septiembre-12 de septiembre de 1924; ; Ministro de Justicia; Instrucción Pública de Chile – 1922-1922; ; Senador de la República de Chile; Provincia de Valparaíso – 15 de mayo de 1912-15 de mayo de 1918; ; Diputado de la República de Chile; Valparaíso; Casablanca – 1 de marzo de 1903-1 de marzo de 1906; ; Diputado de la República de Chile; Valparaíso; Casablanca – 1 de marzo de 1894-1 de marzo de 1900; ",,Partido Demócrata,; ; Fernando (https://es.wikipedia.org/wiki/Fernando_Guarello_Fitz-Henry); Jorge (https://es.wikipedia.org/wiki/Jorge_Guarello_Fitz-Henry); Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); ,https://es.wikipedia.org/wiki/%C3%81ngel_Guarello
Fernando Guarello Fitz-Henry,29 de julio de 1906 Valparaíso (Chile),"Valparaíso, Chile",Chilena,Político; y; abogado; ,Liceo Eduardo de la Barra de Valparaíso; Escuela de Derecho de la Universidad de Valparaíso,; Diputado de la República de Chile; 6.ª Agrupación Departamental; Quillota; Valparaíso – 15 de mayo de 1937-19 de junio de 1971; ,,; M. Nacional-Socialista,Ángel Guarello Costa (https://es.wikipedia.org/wiki/%C3%81ngel_Guarello_Costa); ; ; Jorge Guarello Fitz-Henry (https://es.wikipedia.org/wiki/Jorge_Guarello_Fitz-Henry); Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); Antonia Orellana (https://es.wikipedia.org/wiki/Antonia_Orellana); ,https://es.wikipedia.org/wiki/Fernando_Guarello_Fitz-Henry
Alejandro Guarello,"21 de agosto de 1951 (73 años)Viña del Mar, Chile",,Chilena,Compositor; y; director de orquesta; ,Pontificia Universidad Católica de Valparaíso; Universidad de Chile; Conservatorio Giuseppe Verdi; Accademia Musicale Chigiana,,,,Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); ,https://es.wikipedia.org/wiki/Alejandro_Guarello
Antonia Orellana,21 de diciembre de 1989  (35 años)Santiago de Chile (Chile),"Ñuñoa, Chile",Chilena,Periodista; y; política; ,Universidad de Chile,; Ministra de la Mujer y la Equidad de Género de Chile – Desde el 11 de marzo de 2022; ,,Frente Amplio; ; Convergencia Social,; Juan Cristóbal Guarello (https://es.wikipedia.org/wiki/Juan_Crist%C3%B3bal_Guarello); ,https://es.wikipedia.org/wiki/Antonia_Orellana
